objectid,title,designer,artist,publisher,year,description,game_link,catalog_link,catalog_description,call_number,video_link,video_extra,rules_link,supplement_link,game_printables_link,players_min,players_max,players_recommended,recommended_age,playing_time,Playing time Less that 30 min,Playing time from 30 min up to an hour,Playing time From 1 hour up to 2 hours,Playing time 2 hours or more,theme,mechanics,awards,Awards_without_year,award_winner,original_link,old_table_img,game_image_link,filename_old,image_filename,image_small,image_thumb,display_template
games_0027,Cribbage,,,"Brybelly Holdings, Inc",Ancient,"Cribbage is a fast-moving, classic card game that requires simple strategy and a little bit of devious planning. Players play and group cards in runs and try to build combinations that total 15. Cribbage has several features not found in other card games: the special board used for scoring, the crib or box, two different playing stages in each hand, and a unique scoring system.",https://bicyclecards.com/how-to-play/cribbage,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996220113101851,Cribbage. by Brybelly Call Number: Board Game Shelf GAME CRIBBAGE Publication Date: 2017,Board Game Shelf GAME CRIBBAGE,https://youtu.be/j4nQl7gIqDk,,https://www.fgbradleys.com/rules/Cribbage.pdf,,,2,4,2,8,15-30 min,TRUE,TRUE,FALSE,FALSE,Card Game,Strategy; Tactics; Counting; Hand Management,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=6468456,,https://libapps.s3.amazonaws.com/accounts/182919/images/cribbage.jpg,cribbage.jpg,games_0027.jpg,https://objects.lib.uidaho.edu/games/small/games_0027_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0027_th.jpg,game
games_0028,Dastardly Dirigibles,Justin De Witt,,FIreside Games,2016,"In Dastardly Dirigibles, Professor Phineas Edmund Hornswoggle, known for building the highest quality airships, has announced his retirement. As one of the greatest airship engineers in the kingdom, you have gathered at the Hornswoggle factory in a competition to build the best airships you can and become the successor to the Hornswoggle empire.",https://boardgamegeek.com/boardgame/193485/dastardly-dirigibles,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996228612901851,"Dastardly dirigibles : the steampunk airship building game by Justin De Witt, Fireside Games, LLC. Call Number: Board Games Shelf (First Floor) GAME DASTARDLY DIRIGIBLES Publication Date: 2016 ""Professor Phineas Edumund Hornswoggle, famed airship builder, is retiring and you are an engineer competing to inherit the Hornswoggle factory.""",Board Games Shelf (First Floor) GAME DASTARDLY DIRIGIBLES,https://youtu.be/4zDCU26GbhI,,http://www.firesidegames.com/downloads/Dastardly-Dirigibles-Rules-Web.pdf,,,2,5,3,8,60 min,FALSE,TRUE,TRUE,FALSE,Steampunk; Building,Competition; Set Collection,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=6468489,,https://libapps.s3.amazonaws.com/accounts/182919/images/dastardly_dirigibles.png,dastardly_dirigibles.png,games_0028.jpg,https://objects.lib.uidaho.edu/games/small/games_0028_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0028_th.jpg,game
games_0029,Dixit,Jean-Louis Roubira,,Asmodee,2008,"Dixit is a fun and fast paced game, where players use their imagination and brings the storyteller in them to life along with quick guesswork to ultimately unlock the tale!",https://boardgamegeek.com/boardgame/39856/dixit,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996214410901851,Dixit by Jean-Louis Roubira Call Number: Board Game Shelf GAME DIXIT Publication Date: 2011 Dixit is an exciting game of storytelling through imagination and clues. The 84 artistically designed cards tell a different story for every individual and put creativity to the test!,Board Game Shelf GAME DIXIT,https://youtu.be/Qi4MoW6NuaQ,,https://ndsslibraryblog.files.wordpress.com/2015/12/dixit-rules-english.pdf,,,3,8,5; 6,8,30 min,FALSE,TRUE,FALSE,FALSE,Storytelling; Party Game,Creativity; Cooperative; Storytelling; Voting,2011/Fall Parents' Choice Approved Award Winner; 2011 Ludoteca Ideale Official Selection Winner; 2011 Japan Boardgame Prize Voters' Selection Nominee; 2011 Guldbrikken Best Family Game Nominee; 2010 Vuoden Peli Family Game of the Year Winner; 2010 Vuoden Peli Family Game of the Year Nominee; 2010 Spiel des Jahres Winner; 2010 Spiel Des Jahres Nominee; 2010 Spiel der Spiele Hit für Familien Recommended; 2010 Nederlandse Spellenprijs Nominee; 2010 Lucca Games Best Family Game; 2010 Hungarian Board Game Award Winner; 2010 Hra roku Winner; 2010 Hra roku Nominee; 2010 Gra Roku Game of the Year Nominee; 2010 Games Magazine Best New Party Game Winner; 2010 Hungarian Board Game Award Nominee; 2009 Tric Trac Nominee ; 2009 Tric Trac de Bronze; 2009 Lys Grand Public Winner; 2009 Lys Grand Public Finalist; 2009 Juego del Año Winner; 2009 Juego del Año Finalist; 2009 Golden Geek Most Innovative Board Game Nominee; 2009 Golden Geek Best Party Board Game Nominee; 2009 Golden Geek Best Children's Board Game Nominee; 2009 Golden Geek Best Board Game Artwork/Presentation Nominee; 2009 As d'Or - Jeu de l'Année Winner; 2009 As d'Or - Jeu de l'Année Nominee,As d'Or; Games Magazine; Golden Geek; Golden Geek; Golden Geek; Golden Geek; Gra Roku; Guldbrikken; Hra roku; Hungarian Board Game Award; Japan Boardgame Prize; Juego del Año; Lucca Games; Ludoteca Ideale; Lys; Nederlandse Spellenprijs; Parents' Choice; Spiel der Spiele; Spiel des Jahres; Tric Trac; Tric Trac; Vuoden Peli,true,https://libguides.uidaho.edu/c.php?g=894824&p=6468433,,https://libapps.s3.amazonaws.com/accounts/182919/images/Dixit.jpg,Dixit.jpg,games_0029.jpg,https://objects.lib.uidaho.edu/games/small/games_0029_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0029_th.jpg,game
games_0030,Dominion,Donald X. Vaccarino,,Rio Grande Games,2008,"In Dominion, each player starts with an identical, very small deck of cards. In the center of the table is a selection of other cards the players can ""buy"". Through their selection of cards to buy, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.",https://boardgamegeek.com/boardgame/36218/dominion,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996228612701851,"Dominion by Donald X. Vaccarino, Matthias Catrein, Julien Delval, Rio Grande Games Call Number: Board Games Shelf (First Floor) GAME DOMINION Publication Date: 2016 Players compete with each other to assemble larger domains. The player with the most victory points at game end wins.",Board Games Shelf (First Floor) GAME DOMINION,https://youtu.be/HGnwIlCn0EQ,,http://riograndegames.com/media/225f56a96ee54862.pdf,,,2,4,3,10,30 min,FALSE,TRUE,FALSE,FALSE,Card Game; Medieval,Deck Building; Hand Management; Take That; Variable Set-up,2012 MinD-Spielepreis Nominee; 2011 MinD-Spielepreis Nominee; 2010 MinD-Spielepreis Nominee; 2010 Ludoteca Ideale Official Selection Winner; 2010 Juego del Año Tico Nominee; 2010 Gra Roku Game of the Year Nominee; 2010 Games Magazine Best New Family Strategy Game Winner; 2010 Årets Spill Best Family Game Winner; 2010 Årets Spill Best Family Game Nominee; 2009 Vuoden Peli Adult Game of the Year Winner; 2009 Vuoden Peli Adult Game of the Year Nominee; 2009 Tric Trac Nominee; 2009 Spiel des Jahres Winner; 2009 Spiel des Jahres Nominee; 2009 Spiel der Spiele Hit mit Freunden Recommended; 2009 Nederlandse Spellenprijs Nominee; 2009 Mensa Select Winner; 2009 Ludoteca Ideale Official Selection Winner; 2009 Lucca Games Best Card Game Winner; 2009 JUG Game of the Year Winner; 2009 Juego del Año Finalist; 2009 JoTa Best Card Game Nominee; 2009 JoTa Best Card Game Critic Award; 2009 JoTa Best Card Game Audience Award; 2009 Japan Boardgame Prize Voters' Selection Winner; 2009 Japan Boardgame Prize Voters' Selection Nominee; 2009 International Gamers Awards - General Strategy; Multi-player Nominee; 2009 Hra roku Winner; 2009 Hra roku Nominee; 2009 Guldbrikken Special Jury Prize; 2009 Gouden Ludo Nominee; 2009 Golden Geek Most Innovative Board Game Nominee; 2009 Golden Geek Board Game of the Year Winner; 2009 Golden Geek Best Gamers' Board Game Nominee; 2009 Golden Geek Best Family Board Game Nominee; 2009 Golden Geek Best Card Game Winner; 2009 Golden Geek Best Card Game Nominee; 2009 Golden Geek Best 2-Player Board Game Nominee; 2009 Fairplay À la carte Winner; 2009 Diana Jones Award for Excellence in Gaming Winner; 2009 Diana Jones Award for Excellence in Gaming Nominee; 2009 Deutscher Spiele Preis Best Family/Adult Game Winner; 2009 As d'Or - Jeu de l'Année Nominee; 2008 Origins Awards Best Traditional Card Game Winner; 2008 Meeples' Choice Award,As d'Or; Deutscher; Diana Jones Award; Fairplay; Games Magazine; Golden Geek; Golden Geek; Golden Geek; Golden Geek; Golden Geek; Golden Geek; Gouden Ludo; Gra Roku; Guldbrikken; Hra roku; International Gamers Award; JUG; Japan Boardgame Prize; JoTa Best; JoTa Best; JoTa Best; Juego del Año; Juego del Año; Lucca Games; Ludoteca Ideale; Meeples' Choice; Mensa; MinD-Spielepreis; Nederlandse Spellenprijs; Origins Awards; Spiel der Spiele; Spiel des Jahres; Tric Trac; Vuoden Peli; Årets Spill,true,https://libguides.uidaho.edu/c.php?g=894824&p=6435114,https://s3.amazonaws.com/libapps/accounts/39522/images/Dominion_chart.PNG,https://cf.geekdo-images.com/7mkW_JrUx0PSa4Ame3zzsLE0BVY=/fit-in/246x300/pic394356.jpg,pic394356.jpg,games_0030.jpg,https://objects.lib.uidaho.edu/games/small/games_0030_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0030_th.jpg,game
games_0031,Dos,Nick Hayes,,Mattel Games,2018,"DOS is the follow up to the classic card game UNO. Like UNO, the object of DOS is to be the first player each round to get rid of all your cards and earn points for the cards left in your opponents' hands. On your turn you can play cards from your hand by matching their numbers to any of the face up cards in the center row. You can play one match for each card in the center row. You can also combine two cards from your hand that add up to the number you wish to match. If the card(s) you played match both number and color, you earn the right to place extra cards from your hand in the center row and even force other players to draw cards. Don't forget to yell ""Dos!"" whenever you have two cards in your hand or you could end up drawing more cards! The round ends when one player gets rid of all his cards. That player earns points based on the values of the cards left in the other players' hands. Continue playing in rounds until someone reaches 200 points. That player is the winner.",https://www.unorules.com/dos-rules/,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996485043501851,,Board Games Shelf (First Floor) ; GAME DOS,https://youtu.be/jSSX3J50y88?start=63,,https://service.mattel.com/instruction_sheets/FRM36-Eng.pdf,,,2,4,2; 3,6,30-45 min.,FALSE,TRUE,FALSE,FALSE,Numbers,Hand Management,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=9073013,,https://libapps.s3.amazonaws.com/accounts/182919/images/Dos.jpg,Dos.jpg,games_0031.jpg,https://objects.lib.uidaho.edu/games/small/games_0031_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0031_th.jpg,game
games_0032,Eldritch Horror,Corey Konieczka; Nikki Valens,,Fantasy Flight Games,2013,"Across the globe, ancient evil is stirring. Now, you and your trusted circle of colleagues must travel around the world, working against all odds to hold back the approaching horror. Foul monsters, brutal encounters, and obscure mysteries will take you to your limit and beyond. All the while, you and your fellow investigators must unravel the otherworldy mysteries scattered around the globe in order to push back the gathering mayhem that threatens to overwhelm humanity. The end draws near! Do you have the courage to prevent global destruction? Eldritch Horror is a co-operative game of terror and adventure in which one to eight players take the roles of globetrotting investigators working to solve mysteries, gather clues, and protect the world from an Ancient One – that is, an elder being intent on destroying our world. Each Ancient One comes with its own unique decks of Mystery and Research cards, which draw you deeper into the lore surrounding each loathsome creature. Discover the true name of Azathoth or battle Cthulhu on the high seas.",https://boardgamegeek.com/boardgame/146021/eldritch-horror,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466187701851,"Eldritch Horror by Corey Koniecza, Nikki Valens Call Number: Board Games Shelf (First Floor) GAME ELDRITCH HORROR Publication Date: 2015 Eldritch Horror is a cooperative adventure game for 1-8 players, inspired by the best-selling Arkham Horror board game.",Board Games Shelf (First Floor) GAME ELDRITCH HORROR,https://youtu.be/KAsJEEEw8fo,,https://images-cdn.fantasyflightgames.com/filer_public/c7/d6/c7d6cff6-7025-41f9-8538-bb0626feb4f4/eh01_rulebook.pdf,,,1,8,4,14,120-240 min,FALSE,FALSE,FALSE,TRUE,Mystery; Eldritch Abominations,Cooperative; Dice Rolling; Action Points; Role Playing; Point-to-point movement,2013 Golden Geek Best Thematic Board Game Nominee; 2013 Golden Geek Best Board Game Artwork/Presentation Nominee; 2013 Board Game Quest Awards Game of the Year Nominee; 2013 Board Game Quest Awards Best Thematic Game Nominee; 2013 Board Game Quest Awards Best Coop Game Nominee,Board Game Quest Awards; Board Game Quest Awards; Board Game Quest Awards; Golden Geek; Golden Geek,true,https://libguides.uidaho.edu/c.php?g=894824&p=8864100,,https://libapps.s3.amazonaws.com/accounts/182919/images/Eldritch_Horror.jpg,Eldritch_Horror.jpg,games_0032.jpg,https://objects.lib.uidaho.edu/games/small/games_0032_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0032_th.jpg,game
games_0033,Evolution,Dominic Crapuchettes; Dmitry Knorre; Sergey Machin,,North Star Games,2014,"In Evolution, players create and adapt their own species in a dynamic ecosystem with hungry predators and limited resources. Traits like Hard Shell and Horns will protect you from Carnivores, while a Long Neck will help you get food that others cannot reach. With over 12000 different species to create, every game becomes a different adventure. So gather your friends around the table and see who will best adapt their species to eat, multiply and thrive!",https://www.northstargames.com/products/evolution,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996485043601851,"Evolution by Dominic Crapuchettes, Dmitry Knorre, Sergey Machin, Catherine Hamilton, North Star Games Call Number: Board Games Shelf GAME EVOLUTION Publication Date: 2017 The dynamic game of survival",Board Games Shelf GAME EVOLUTION,https://youtu.be/-BJ6TUFE_yY,,https://www.fgbradleys.com/rules/rules3/EvolutionRules.pdf,,,2,6,4,12,60 min,FALSE,TRUE,TRUE,FALSE,Animals; Card Game; Prehistoric; Environmental,Action Points; Hand Management; Push Your Luck; Simulation; Take That,2015 Fairplay À la carte Runner-up; 2014 Golden Geek Best Thematic Board Game Nominee; 2014 Golden Geek Best Family Board Game Nominee; 2014 Golden Geek Best Board Game Artwork & Presentation Nominee,Fairplay; Golden Geek; Golden Geek; Golden Geek,true,https://libguides.uidaho.edu/c.php?g=894824&p=6435116,https://s3.amazonaws.com/libapps/accounts/39522/images/evolution_chart.PNG,https://s3.amazonaws.com/libapps/accounts/39522/images/Evolution_Box_RT_2nd_Edition_1024x1024.jpg,Evolution_Box_RT_2nd_Edition_1024x1024.jpg,games_0033.jpg,https://objects.lib.uidaho.edu/games/small/games_0033_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0033_th.jpg,game
games_0034,Fairy Tale Fluxx,Andrew Looney,,Looney Labs,2018,"Fairy Tale Fluxx brings the zaniness of the card game of ever-changing rules to the land of happily ever after! Gather Keepers to fit the current fairy tale Goal and you win; but look out for the Witch and the Wolf! With delightful illustrations by Mary Engelbreit, this version of Fluxx is a wish come true.",https://boardgamegeek.com/boardgame/255013/fairy-tale-fluxx,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996291711701851,"Fairy tale fluxx by Andrew Looney, Mary Engelbreit, Looney Labs Call Number: Board Game Shelf GAME FAIRY TALE FLUXX Publication Date: 2018 Fluxx is a card game in which the cards themselves determine the current rules of the game. By playing cards, you change numerous aspects of the game: how to draw cards, how to play cards, and even how to win...Fairy Tale Fluxx, illustrated by renowned folk artist Mary Engelbreit, brings the zaniness of ""the card game of ever changing rules"" to the land of ""happily ever after"", and the results are fit for a king! Gather Keepers to fit the current fairy tale Goal and you win - but look our for the Witch and the Wolf!",Board Game Shelf GAME FAIRY TALE FLUXX,https://youtu.be/8D-7ty1hPuc,,https://www.looneylabs.com/sites/default/files/literature/Fairy%20Tale%20Fluxx%20Rules.pdf,,,2,6,2,8,5-30 min,TRUE,TRUE,FALSE,FALSE,Fairy Tales; Card Game,Changing Objectives; Hand Management,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=7155965,,https://libapps.s3.amazonaws.com/accounts/182919/images/Fairy_Tale_Fluxx.jpg,Fairy_Tale_Fluxx.jpg,games_0034.jpg,https://objects.lib.uidaho.edu/games/small/games_0034_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0034_th.jpg,game
games_0035,Family Guy Trivia,,,NY Cardinal,2005,"Peter, the big, lovable loaf who always says what's on his mind. Lois the adoring mother who can't figure out why her baby son keeps trying to kill her. Their daughter Meg the teen drama queen who's constantly embarrassed by her family. Chris, the beefy 13-year-old who wouldn't hurt a fly, unless it landed on his hot dog. Stewie, the maniacal one-year-old bent on world domination. And Brian, the sarcastic dog with a wit as dry as the martinis he drinks. Now at long last, a Trivia Game based on television's most dysfunctional cartoon family! 1000 Trivia Questions will keep you guessing-- and laughing!",https://boardgamegeek.com/boardgame/21881/family-guy-trivia-game,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996486145201851,,Board Games Shelf (First Floor) ; GAME FAMILY GUY,https://youtu.be/YWLRuTgT_qc?start=63,,,,,2,10,,13,60 min.,FALSE,TRUE,TRUE,FALSE,Family Guy; Trivia; TV show,Cooperative; Roll/Spin to Move,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=9073040,,https://libapps.s3.amazonaws.com/accounts/182919/images/Family_Guy_Trivia.jpg,Family_Guy_Trivia.jpg,games_0035.jpg,https://objects.lib.uidaho.edu/games/small/games_0035_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0035_th.jpg,game
games_0036,Forbidden Island,Matt Leacock,,Gamewright,2010,"Dare to discover Forbidden Island! Join a team of fearless adventurers on a do-or-die mission to capture four sacred treasures from the ruins of this perilous paradise. Your team will have to work together and make some pulse-pounding maneuvers, as the island will sink beneath every step! Race to collect the treasures and make a triumphant escape before you are swallowed into the watery abyss! The latest creation by cooperative game master, Matt Leacock who created the best seller Pandemic.",https://gamewright.com/product/Forbidden-Island,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996214410601851,"Forbidden Island : adventure ... if you dare. by Matt Leacock, C. B. Canga, Gamewright Call Number: Board Game Sheld GAME FORBIDDEN ISLAND Publication Date: 2010 Forbidden Island : secluded retreat of the ancient empire of the Archeans, and hiding place of the Archeans' 4 treasures. Your team of adventurers must work together to keep Forbidden Island from sinking in order to have time to capture the 4 treasures.",Board Game Sheld GAME FORBIDDEN ISLAND,https://youtu.be/RXmF5kDr_WI,,https://libguides.uidaho.edu/ld.php?content_id=45710364,,,2,4,4,8,30 min.,FALSE,TRUE,FALSE,FALSE,Adventure; Fantasy; Exploration,Cooperative; Hand Management; Grid Movement; Modular Board,"2020 Guldbrikken Best Family Game Nominee; 2011/2012 Boardgames Australia Awards Best International Game Nominee; 2011 Vuoden Peli Family Game of the Year Winner; 2011 Vuoden Peli Family Game of the Year Nominee; 2011 Spiel des Jahres Nominee; 2011 Nederlandse Spellenprijs Nominee; 2011 Juego del Año Winner; 2011 Juego del Año Finalist; 2011 JoTa Best Light Board Game Nominee; 2011 Deutscher Lernspielpreis ""9 years and up"" Nominee; 2010 UK Games Expo Best Family/Children's Game Winner; 2010 Mensa Select Winner; 2010 Golden Geek Best Family Board Game Nominee; 2010 Golden Geek Best Children's Board Game Winner; 2010 Golden Geek Best Children's Board Game Nominee; 2010 Golden Geek Best Board Game Artwork/Presentation Nominee",Boardgames Australia Awards; Deutscher; Golden Geek; Golden Geek; Golden Geek; Guldbrikken; JoTa Best; Juego del Año; Mensa; Nederlandse Spellenprijs; Spiel des Jahres; UK Games Expo; Vuoden Peli,true,https://libguides.uidaho.edu/c.php?g=894824&p=6435119,https://s3.amazonaws.com/libapps/accounts/39522/images/forbidden_island_chart.PNG,https://s3.amazonaws.com/libapps/accounts/39522/images/Forbidden_Island.jpg,Forbidden_Island.jpg,games_0036.jpg,https://objects.lib.uidaho.edu/games/small/games_0036_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0036_th.jpg,game
games_0037,Freedom: The Underground Railroad,Brian Mayer,,Academy Games,2013,"Early in the history of the United States, slavery was an institution that seemed unmovable but with efforts of men and women across the country, it was toppled. In Freedom: The Underground Railroad, players are working to build up the strength of the Abolitionist movement through the use of notable figures and pivotal events. By raising support for the cause and moving slaves to freedom in Canada, the minds of Americans can be changed and the institution of slavery can be brought down. Freedom is a card-driven, cooperative game for one to four players in which the group is working for the abolitionist movement to help bring an end to slavery in the United States. The players use a combination of cards, which feature figures and events spanning from Early Independence until the Civil War, along with action tokens and the benefits of their role to impact the game. Players need to strike the right balance between freeing slaves from plantations in the south and raising funds which are desperately needed to allow the group to continue their abolitionist activities as well as strengthen the cause. The goal is not easy and in addition to people and events that can have a negative impact on the group's progress, there are also slave catchers roaming the board, reacting to the movements of the slaves on the board and hoping to catch the runaway slaves and send them back to the plantations. Through careful planning and working together, the group might see an end to slavery in their time.",https://boardgamegeek.com/boardgame/119506/freedom-underground-railroad,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466187901851,"Freedom: The Underground Railroad by Brian Mayer Call Number: Board Games Shelf (First Floor) GAME FREEDOM THE UNDERGROUND RAILROAD Publication Date: 2013 A challenging cooperative game pitting the players against the institution of slavery during the early 1800's through the Civil War. Players work together for the Abolitionist cause, raising funds and helping slaves as they move from the Southern States to freedom in Canada.",Board Games Shelf (First Floor) GAME FREEDOM THE UNDERGROUND RAILROAD,https://youtu.be/BC-f7GZlwnk,,http://www.gvlibraries.org/sites/default/files/Freedom%20Rules%20sm.pdf,,,1,4,3,12,60-120 min,FALSE,FALSE,TRUE,TRUE,Abolition; American Civil War; Economic; Political,Cooperative; Pick-up and deliver; Push Your Luck; Variable Player Powers,2014 Origins Awards Best Historical Board Game Nominee; 2014 International Gamers Award - General Strategy: Multi-player Nominee; 2013 Golden Geek Best Thematic Board Game Nominee; 2013 Board Game Quest Awards Best Thematic Game Winner; 2013 Board Game Quest Awards Best Thematic Game Nominee; 2013 Board Game Quest Awards Best Coop Game Winner; 2013 Board Game Quest Awards Best Coop Game Nominee,Board Game Quest Awards; Board Game Quest Awards; Golden Geek; International Gamers Award; Origins Awards,true,https://libguides.uidaho.edu/c.php?g=894824&p=8864097,,https://libapps.s3.amazonaws.com/accounts/182919/images/Freedom.jpg,Freedom.jpg,games_0037.jpg,https://objects.lib.uidaho.edu/games/small/games_0037_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0037_th.jpg,game
games_0038,The Game of Life,Reuben Klamer; Bill Markham,,Milton Bradley,1960,"This game attempts to mirror life events many people go through from going to college, raising a family, buying a home, working and retiring. The intent of the game is to have the most assets at the end of the game, assets are earned primarily by working and earning tokens with dollars amount on them. Additionally the first person to complete the course gets additional money tokens. There is a very linear board that you move along by spinning a wheel or landing on spaces that tell you to move to a specific space or forward or back. There are a handful of intersections where you can choose to go one direction or another but they ultimately have similar spaces and meet back up quickly. There are a handful of choices regarding insurance and investments but for the most part it is a game of luck.",https://boardgamegeek.com/boardgame/2921/game-of-life,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996466185201851,The Game of Life by Milton Bradley Company Call Number: Board Games Shelf (First Floor) GAME THE GAME OF LIFE Publication Date: 2005,Board Games Shelf (First Floor) GAME THE GAME OF LIFE,https://youtu.be/hecffl5TEtE,,https://www.hasbro.com/common/instruct/life.pdf,,,2,6,4,6,1 hour,FALSE,FALSE,TRUE,FALSE,Children's Game; Simulation; Economic,Events; Roll/Spin to Move,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=8864059,,https://libapps.s3.amazonaws.com/accounts/182919/images/Life.png,Life.png,games_0038.jpg,https://objects.lib.uidaho.edu/games/small/games_0038_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0038_th.jpg,game
games_0039,Gloom,Keith Baker,,Atlas Games,2005,"In the Gloom card game, you assume control of the fate of an eccentric family of misfits and misanthropes. The goal of the game is sad, but simple: you want your characters to suffer the greatest tragedies possible before passing on to the well-deserved respite of death.",https://boardgamegeek.com/boardgame/12692/gloom,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996214411101851,"Gloom : the game of inauspicious incidents & grave consequences by Keith Baker, Michelle Nephew, Scott Reeves, John Nephew, Atlas Games Call Number: Board Game Shelf GLOOM Publication Date: 2005 Players assume control of the fate of an eccentric family of misfits and misanthropes. The goal of the game is for players' characters to suffer the greatest tragedies possible before dying. Game ends when an entire family is eliminated. Players total Pathos points on each character's Character cards, adding to get total Family Value; player with lowest total Family Value wins.",Board Game Shelf GLOOM,https://youtu.be/0artLwe87I4,,https://www.atlas-games.com/pdf_storage/Gloom2-0Rules.pdf,,,2,4,4,10,30 min,FALSE,TRUE,FALSE,FALSE,Horror; Humor; Card Game,Storytelling; Strategy; Hand Management; Layering; Take That,2005 Origins Awards Traditional Card Game of the Year Winner,Origins Awards,true,https://libguides.uidaho.edu/c.php?g=894824&p=6468436,,https://libapps.s3.amazonaws.com/accounts/182919/images/Gloom.jpg,Gloom.jpg,games_0039.jpg,https://objects.lib.uidaho.edu/games/small/games_0039_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0039_th.jpg,game
games_0040,Guess Who?,Theo Coster; Ora Coster; Theora Design,,Hasbro,1979,"The mystery face game where you flip over a collection of faces with different color hair, eye color, hair, hats, glasses etc. to deduce who the secret person is that your opponent has chosen. You flip over the hooked tiles as you narrow your choices by asking characteristic questions.",https://boardgamegeek.com/boardgame/4143/guess-who,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma996291711601851,"Guess who? : the original guessing game! by Hasbro, Inc. Call Number: Board Games Shelf (First Floor) GAME GUESS WHO Publication Date: 2017 Guess your opponent's mystery character first to win!",Board Games Shelf (First Floor) GAME GUESS WHO,https://youtu.be/a76UPzU2VXM,,https://www.hasbro.com/common/instruct/GuessWho.PDF,,,2,2,2,4,10-20 min,TRUE,FALSE,FALSE,FALSE,Identification; Children's Game; Deduction,Descriptions; Elimination; Deduction; Memory,,,false,https://libguides.uidaho.edu/c.php?g=894824&p=7155912,,https://libapps.s3.amazonaws.com/accounts/182919/images/Who.jpg,Who.jpg,games_0040.jpg,https://objects.lib.uidaho.edu/games/small/games_0040_sm.jpg,https://objects.lib.uidaho.edu/games/thumbs/games_0040_th.jpg,game
